cliente_id,edad,genero,ubicacion,antiguedad_dias,segmento,ingreso_mensual
50,59,F,1664.0,551,Masivo,13400.0
51,74,F,641.0,1803,Masivo,9700.0
52,47,F,1322.0,1635,Masivo,11000.0
53,26,M,144.0,346,Premium,45800.0
54,53,F,254.0,1676,Masivo,12400.0
55,65,F,1184.0,1015,Masivo,8300.0
56,75,F,1155.0,404,Masivo,8000.0
57,41,F,1144.0,1697,Masivo,10000.0
58,26,M,1446.0,104,Premium,84600.0
59,23,M,510.0,1497,Masivo,12500.0
60,73,F,1744.0,957,Masivo,8300.0
61,58,M,161.0,1604,Masivo,9700.0
62,61,F,1416.0,1159,Masivo,8600.0
63,22,F,640.0,1057,Alto,67700.0
64,56,M,1694.0,38,Medio,25700.0
65,51,F,1800.0,1307,Masivo,6200.0
66,53,F,879.0,960,Masivo,9500.0
67,18,F,1020.0,816,Alto,45400.0
68,25,M,1244.0,158,Premium,77300.0
69,52,F,99.0,1769,Masivo,11600.0
70,67,F,607.0,1123,Masivo,13000.0
71,25,F,1140.0,191,Alto,38900.0
72,28,F,18.0,1817,Masivo,9600.0
73,79,M,566.0,570,Masivo,13900.0
74,64,M,1663.0,155,Masivo,8800.0
75,50,M,1128.0,1417,Masivo,9100.0
76,50,M,759.0,538,Masivo,16100.0
77,73,F,921.0,408,Masivo,12100.0
78,71,F,685.0,20,Medio,29400.0
79,56,F,400.0,654,Masivo,11100.0
80,41,M,834.0,1824,Masivo,14300.0
81,52,F,854.0,51,Masivo,6600.0
82,77,F,1366.0,305,Masivo,13100.0
83,18,F,1078.0,1003,Alto,60600.0
84,49,M,,5,Masivo,12400.0
85,77,F,992.0,884,Masivo,17000.0
86,71,M,656.0,269,Medio,21300.0
87,33,F,1683.0,657,Alto,60900.0
88,74,M,1498.0,117,Masivo,10700.0
89,23,M,1013.0,1665,Masivo,11000.0
90,49,M,1662.0,1142,Masivo,11000.0
91,80,F,488.0,1261,Masivo,13100.0
92,67,F,247.0,1100,Masivo,17000.0
93,60,F,1459.0,997,Masivo,11000.0
94,53,M,1071.0,1009,Masivo,9600.0
95,51,M,958.0,1012,Masivo,14100.0
96,45,M,1278.0,1758,Masivo,13800.0
97,77,F,1786.0,522,Masivo,12000.0
98,64,F,516.0,1040,Masivo,14300.0
99,63,M,1783.0,258,Masivo,13900.0
100,60,F,690.0,1699,Masivo,12400.0
101,46,F,957.0,691,Masivo,13300.0
102,46,F,1192.0,1067,Masivo,15400.0
103,32,M,397.0,12,Alto,40100.0
104,19,M,970.0,1626,Masivo,12600.0
105,32,M,115.0,617,Alto,34600.0
106,18,F,1400.0,1444,Masivo,16000.0
107,58,M,1021.0,761,Masivo,6000.0
108,22,F,739.0,1713,Masivo,16200.0
109,73,F,1572.0,978,Masivo,13500.0
110,50,F,1760.0,37,Masivo,7400.0
111,60,F,279.0,217,Masivo,13900.0
112,52,F,729.0,1366,Masivo,6000.0
113,77,M,1043.0,177,Masivo,13200.0
114,54,F,1588.0,851,Masivo,11600.0
115,68,F,144.0,885,Masivo,12600.0
116,44,F,1493.0,1508,Masivo,9600.0
117,24,F,1168.0,569,Alto,48200.0
118,40,F,751.0,588,Masivo,17000.0
119,47,F,954.0,492,Masivo,12200.0
120,21,M,1192.0,170,Alto,45600.0
121,80,F,1218.0,1541,Masivo,7300.0
122,21,F,1389.0,1366,Masivo,12200.0
123,39,F,511.0,1351,Masivo,9800.0
124,24,F,1206.0,167,Alto,42900.0
125,30,F,39.0,1150,Masivo,11100.0
126,26,M,1082.0,1684,Masivo,12000.0
127,35,M,829.0,895,Masivo,15800.0
128,73,F,190.0,505,Masivo,14300.0
129,46,M,1393.0,1433,Masivo,11000.0
130,72,F,1580.0,685,Masivo,13400.0
131,21,F,815.0,1173,Masivo,11500.0
132,52,F,1465.0,1426,Masivo,12900.0
133,80,M,1329.0,1550,Masivo,9300.0
134,66,F,971.0,1036,Masivo,16600.0
135,28,F,784.0,968,Alto,41900.0
136,48,M,676.0,90,Masivo,9800.0
137,43,M,540.0,732,Masivo,8000.0
138,28,M,959.0,1169,Masivo,9700.0
139,42,M,1748.0,461,Masivo,9300.0
140,68,F,1277.0,390,Masivo,13500.0
141,36,F,256.0,709,Masivo,8000.0
142,79,F,1266.0,1275,Masivo,17500.0
143,68,M,1143.0,1016,Masivo,15500.0
144,63,F,177.0,1803,Masivo,10600.0
145,30,F,63.0,1241,Masivo,11700.0
146,79,M,385.0,405,Masivo,15700.0
147,65,M,518.0,476,Masivo,12000.0
148,65,F,677.0,714,Masivo,12100.0
149,21,F,1169.0,1109,Masivo,8800.0
150,50,F,717.0,1796,Masivo,11600.0
151,51,M,881.0,488,Masivo,7400.0
152,79,M,154.0,250,Medio,31400.0
153,72,F,1330.0,268,Medio,27100.0
154,56,F,919.0,1231,Masivo,16000.0
155,73,F,578.0,75,Masivo,15200.0
156,25,M,859.0,435,Premium,44800.0
157,54,M,166.0,1505,Masivo,10500.0
158,56,F,1587.0,81,Medio,31700.0
159,23,M,184.0,1425,Masivo,6900.0
160,55,M,546.0,1798,Masivo,11800.0
161,38,F,205.0,126,Medio,24400.0
162,31,M,1207.0,848,Alto,44200.0
163,38,M,1544.0,900,Masivo,10500.0
164,43,F,1219.0,667,Masivo,8800.0
165,59,F,61.0,634,Masivo,13800.0
166,38,M,682.0,534,Masivo,10400.0
167,77,M,1537.0,645,Masivo,7700.0
168,47,M,1102.0,1754,Masivo,11400.0
169,54,F,1097.0,794,Masivo,13500.0
170,22,M,350.0,107,Premium,104100.0
171,50,M,1050.0,804,Masivo,13800.0
172,77,M,719.0,303,Masivo,14300.0
173,22,F,474.0,28,Alto,61400.0
174,41,M,1336.0,883,Masivo,11300.0
175,46,F,1647.0,919,Masivo,21200.0
176,63,M,1530.0,806,Masivo,15400.0
177,80,F,1039.0,1216,Masivo,9700.0
178,59,M,1297.0,1255,Masivo,7700.0
179,60,M,126.0,812,Masivo,9900.0
180,37,M,1418.0,67,Medio,19000.0
181,24,M,228.0,111,Premium,121700.0
182,26,F,1578.0,425,Alto,58900.0
183,74,F,1344.0,1762,Masivo,12000.0
184,53,M,1401.0,1313,Masivo,7100.0
185,36,M,277.0,1734,Masivo,11400.0
186,63,F,1470.0,350,Masivo,6000.0
187,61,F,759.0,899,Masivo,6000.0
188,34,F,1247.0,6,Alto,51800.0
189,34,F,4.0,646,Premium,115900.0
190,72,F,194.0,847,Masivo,11800.0
191,58,F,1050.0,1459,Masivo,10700.0
192,35,F,836.0,1811,Masivo,13500.0
193,39,M,532.0,113,Medio,29900.0
194,58,M,139.0,1535,Masivo,14300.0
195,28,F,259.0,1697,Masivo,9800.0
196,53,F,1674.0,172,Masivo,6000.0
197,53,F,,1620,Masivo,14500.0
198,22,F,911.0,1574,Masivo,8600.0
199,62,M,1630.0,1119,Masivo,12500.0
200,52,M,1571.0,513,Masivo,12300.0
201,41,F,918.0,1596,Masivo,11600.0
202,27,F,270.0,798,Premium,82300.0
203,20,M,851.0,1403,Masivo,14200.0
204,75,M,1066.0,89,Medio,26200.0
205,80,M,616.0,1550,Masivo,12800.0
206,75,F,575.0,143,Medio,29000.0
207,61,M,1007.0,503,Masivo,9800.0
208,24,M,1063.0,198,Premium,81100.0
209,53,F,554.0,1472,Masivo,17100.0
210,44,F,157.0,550,Masivo,11900.0
211,65,F,1021.0,997,Masivo,10500.0
212,77,M,1546.0,517,Masivo,13200.0
213,28,F,865.0,1142,Masivo,15900.0
214,69,M,47.0,324,Medio,22800.0
215,44,F,95.0,627,Masivo,13200.0
216,65,M,69.0,1684,Masivo,17600.0
217,68,M,872.0,550,Masivo,10800.0
218,69,M,363.0,396,Masivo,7600.0
219,65,F,1640.0,958,Masivo,11200.0
220,35,F,683.0,1484,Masivo,10700.0
221,62,M,1008.0,1348,Masivo,15600.0
222,73,M,1014.0,51,Medio,28400.0
223,48,F,1750.0,779,Masivo,9000.0
224,70,F,1646.0,420,Masivo,11600.0
225,40,M,825.0,1025,Masivo,12200.0
226,68,F,661.0,1455,Masivo,15300.0
227,32,M,1161.0,202,Premium,97000.0
228,30,F,386.0,1234,Masivo,6000.0
229,35,F,347.0,1553,Masivo,10700.0
230,79,F,1206.0,664,Masivo,12200.0
231,40,F,1204.0,710,Masivo,9800.0
232,43,M,1493.0,1073,Masivo,14700.0
233,71,M,1108.0,1385,Masivo,11200.0
234,78,M,1725.0,1384,Masivo,8700.0
235,74,F,1793.0,1760,Masivo,12000.0
236,29,M,723.0,1342,Masivo,11900.0
237,80,M,285.0,1329,Masivo,11900.0
238,24,F,18.0,769,Premium,69100.0
239,40,M,194.0,502,Masivo,6000.0
240,38,F,831.0,1668,Masivo,8300.0
241,80,M,925.0,55,Medio,18000.0
242,42,F,1404.0,87,Medio,21100.0
243,30,F,1415.0,1373,Masivo,15700.0
244,63,M,443.0,1791,Masivo,6000.0
245,51,M,1078.0,761,Masivo,10400.0
246,52,F,1007.0,1288,Masivo,13500.0
247,78,M,96.0,1112,Masivo,14100.0
248,60,F,452.0,1524,Masivo,13300.0
249,45,F,469.0,910,Masivo,13800.0
250,60,M,775.0,1697,Masivo,11100.0
251,57,M,147.0,1648,Masivo,13000.0
252,72,M,514.0,815,Masivo,8200.0
253,75,F,1547.0,746,Masivo,10600.0
254,37,M,1556.0,261,Masivo,15300.0
255,38,F,905.0,1250,Masivo,10900.0
256,36,F,1388.0,1304,Masivo,13400.0
257,30,M,1182.0,632,Premium,53300.0
258,78,F,1233.0,526,Masivo,11600.0
259,65,F,237.0,1305,Masivo,10100.0
260,57,F,4.0,666,Masivo,10700.0
261,43,F,1133.0,610,Masivo,7100.0
262,18,F,1177.0,998,Premium,91000.0
263,31,M,342.0,27,Premium,85100.0
264,55,F,821.0,455,Masivo,14900.0
265,38,F,1425.0,922,Masivo,16200.0
266,46,M,130.0,1020,Masivo,10500.0
267,50,F,1729.0,819,Masivo,12400.0
268,75,M,1803.0,1320,Masivo,11300.0
269,65,M,676.0,1137,Masivo,14200.0
270,23,F,55.0,623,Premium,110000.0
271,60,M,1336.0,1313,Masivo,12900.0
272,39,M,1268.0,1515,Masivo,6800.0
273,78,F,1531.0,365,Masivo,13100.0
274,61,M,73.0,713,Masivo,8900.0
275,69,M,1665.0,1241,Masivo,14300.0
276,19,M,131.0,1522,Masivo,16800.0
277,80,F,172.0,1459,Masivo,13900.0
278,72,M,1068.0,817,Masivo,7300.0
279,47,M,330.0,1593,Masivo,8000.0
280,58,F,216.0,339,Medio,23900.0
281,63,F,1751.0,1509,Masivo,14500.0
282,49,M,1113.0,1292,Masivo,13400.0
283,27,M,489.0,1562,Masivo,14500.0
284,18,M,629.0,1543,Masivo,12400.0
285,73,M,688.0,1522,Masivo,16100.0
286,24,F,372.0,935,Alto,41400.0
287,32,F,615.0,1297,Masivo,8200.0
288,79,F,1122.0,131,Medio,32100.0
289,47,M,183.0,983,Masivo,11400.0
290,33,F,1373.0,982,Alto,40600.0
291,25,F,16.0,493,Premium,81600.0
292,69,F,1763.0,1063,Masivo,15200.0
293,51,M,29.0,958,Masivo,19800.0
294,56,M,377.0,266,Masivo,10000.0
295,66,M,340.0,389,Masivo,6400.0
296,57,F,146.0,293,Masivo,11100.0
297,75,M,585.0,399,Masivo,16700.0
298,71,M,61.0,939,Masivo,9000.0
299,46,F,807.0,1464,Masivo,12700.0
300,65,F,226.0,1177,Masivo,14800.0
301,46,F,772.0,1595,Masivo,15400.0
302,33,M,1267.0,1517,Masivo,11000.0
303,35,M,1131.0,226,Masivo,13400.0
304,51,F,727.0,689,Masivo,13500.0
305,33,F,1044.0,1777,Masivo,10900.0
306,22,F,62.0,1169,Masivo,8500.0
307,33,M,160.0,1763,Masivo,9900.0
308,38,F,329.0,580,Masivo,9900.0
309,23,F,1634.0,1291,Masivo,10900.0
310,32,M,1673.0,1219,Masivo,13800.0
311,27,F,1356.0,170,Premium,93200.0
312,22,M,984.0,1148,Masivo,18000.0
313,39,M,328.0,1275,Masivo,11900.0
314,44,M,1340.0,1712,Masivo,17400.0
315,71,F,973.0,593,Masivo,14700.0
316,75,F,1064.0,40,Medio,25200.0
317,78,M,1286.0,216,Medio,29700.0
318,72,F,1705.0,781,Masivo,13300.0
319,54,F,1369.0,1717,Masivo,15000.0
320,18,F,7.0,133,Premium,110600.0
321,37,F,1055.0,535,Masivo,12700.0
322,72,M,1282.0,1742,Masivo,11500.0
323,71,F,1548.0,295,Masivo,11300.0
324,65,F,360.0,1247,Masivo,10200.0
325,69,M,448.0,856,Masivo,11300.0
326,32,M,1479.0,586,Alto,46900.0
327,35,F,1436.0,572,Masivo,13700.0
328,19,F,916.0,484,Alto,38000.0
329,60,M,1041.0,524,Masivo,12400.0
330,43,M,474.0,1144,Masivo,9900.0
331,71,M,306.0,1294,Masivo,10300.0
332,26,F,1031.0,29,Alto,48800.0
333,52,M,79.0,947,Masivo,11700.0
334,43,F,1123.0,397,Masivo,8300.0
335,60,F,1295.0,887,Masivo,10400.0
336,59,F,1711.0,974,Masivo,14600.0
337,73,M,1483.0,1563,Masivo,6500.0
338,21,M,934.0,1551,Masivo,10300.0
339,38,F,1187.0,1009,Masivo,8200.0
340,38,F,208.0,1563,Masivo,16300.0
341,74,F,430.0,985,Masivo,13000.0
342,66,F,1710.0,1586,Masivo,13400.0
343,44,F,387.0,349,Masivo,15700.0
344,23,F,206.0,455,Alto,49900.0
345,65,F,1764.0,521,Masivo,11900.0
346,78,M,1014.0,501,Masivo,7700.0
347,59,M,1368.0,584,Masivo,10700.0
348,79,M,274.0,1344,Masivo,6300.0
349,66,M,1519.0,607,Masivo,14700.0
350,33,F,102.0,1449,Masivo,15800.0
351,19,M,214.0,1715,Masivo,11200.0
352,33,F,1696.0,1487,Masivo,10800.0
353,60,F,1110.0,92,Medio,23900.0
354,78,M,2.0,225,Masivo,12100.0
355,62,M,589.0,116,Masivo,13900.0
356,41,F,106.0,887,Masivo,9100.0
357,56,F,317.0,635,Masivo,12200.0
358,63,F,1288.0,1714,Masivo,10100.0
359,70,F,1108.0,1342,Masivo,11000.0
360,37,F,208.0,900,Masivo,19200.0
361,19,F,22.0,410,Alto,61900.0
362,54,F,1548.0,909,Masivo,10600.0
363,79,M,1267.0,122,Masivo,17000.0
364,78,F,309.0,695,Masivo,11400.0
365,22,M,1618.0,914,Premium,90100.0
366,71,F,924.0,1738,Masivo,6000.0
367,24,M,445.0,93,Alto,49800.0
368,37,M,1749.0,159,Masivo,10700.0
369,56,F,805.0,516,Masivo,14600.0
370,68,F,1586.0,1713,Masivo,14300.0
371,68,F,1641.0,420,Masivo,11800.0
372,52,F,335.0,1442,Masivo,10900.0
373,41,F,295.0,755,Masivo,14400.0
374,59,M,1261.0,530,Masivo,12500.0
375,72,F,911.0,1761,Masivo,13200.0
376,49,F,1623.0,1322,Masivo,9900.0
377,79,M,334.0,2,Masivo,11900.0
378,75,M,381.0,1647,Masivo,15500.0
379,63,F,231.0,1108,Masivo,8500.0
380,29,M,28.0,66,Premium,86400.0
381,79,M,1473.0,1448,Masivo,7100.0
382,57,M,287.0,1419,Masivo,16600.0
383,52,F,630.0,270,Masivo,17900.0
384,47,M,133.0,1300,Masivo,10200.0
385,64,F,972.0,513,Masivo,9800.0
386,38,M,1131.0,687,Masivo,8100.0
387,71,F,165.0,305,Medio,26800.0
388,35,F,620.0,1275,Masivo,15900.0
389,33,M,334.0,1666,Masivo,11000.0
390,54,M,1025.0,119,Masivo,10600.0
391,42,M,1083.0,837,Masivo,12600.0
392,49,F,276.0,693,Masivo,9300.0
393,29,M,1275.0,126,Premium,98300.0
394,40,M,495.0,427,Masivo,13000.0
395,39,F,1452.0,1318,Masivo,15300.0
396,56,M,375.0,1032,Masivo,8900.0
397,35,F,129.0,1015,Masivo,10100.0
398,51,F,86.0,1199,Masivo,17700.0
399,23,F,311.0,1143,Masivo,12500.0
400,44,F,1169.0,1562,Masivo,13100.0
401,66,F,744.0,588,Masivo,12600.0
402,48,F,1025.0,1171,Masivo,11200.0
403,49,F,1678.0,1077,Masivo,14500.0
404,19,M,1010.0,704,Alto,63200.0
405,32,F,1705.0,1113,Masivo,13000.0
406,33,F,489.0,971,Premium,88400.0
407,55,M,494.0,1668,Masivo,15100.0
408,53,F,1001.0,1303,Masivo,13700.0
409,45,M,1355.0,1665,Masivo,12400.0
410,53,M,1679.0,1089,Masivo,8900.0
411,62,M,711.0,143,Medio,20000.0
412,37,M,1521.0,291,Masivo,6000.0
413,25,M,867.0,968,Premium,66200.0
414,38,M,1818.0,328,Medio,36300.0
415,52,M,629.0,1245,Masivo,8500.0
416,62,M,1317.0,975,Masivo,7400.0
417,31,F,783.0,43,Premium,91900.0
418,35,F,1005.0,21,Masivo,14600.0
419,80,M,1141.0,1148,Masivo,12400.0
420,56,M,324.0,789,Masivo,13100.0
421,24,M,787.0,1358,Masivo,6900.0
422,36,M,1563.0,1693,Masivo,11700.0
423,29,F,291.0,1672,Masivo,14800.0
424,63,F,589.0,644,Masivo,7300.0
425,35,F,350.0,1483,Masivo,10400.0
426,21,M,1265.0,445,Alto,50100.0
427,62,F,1476.0,1799,Masivo,10600.0
428,58,F,559.0,891,Masivo,15500.0
429,49,M,1142.0,1301,Masivo,11100.0
430,18,M,10.0,984,Alto,49000.0
431,48,F,584.0,152,Masivo,14200.0
432,39,M,531.0,1636,Masivo,9900.0
433,21,M,1226.0,857,Alto,36600.0
434,73,F,687.0,1585,Masivo,18400.0
435,70,F,1250.0,673,Masivo,11400.0
436,49,M,1679.0,419,Masivo,11600.0
437,58,F,1184.0,1547,Masivo,10300.0
438,27,F,1278.0,921,Premium,52600.0
439,54,M,1621.0,1682,Masivo,7700.0
440,23,F,1777.0,459,Premium,41700.0
441,25,M,1555.0,1604,Masivo,13700.0
442,44,M,1006.0,36,Masivo,16900.0
443,68,F,73.0,648,Masivo,7700.0
444,67,F,1805.0,561,Masivo,8300.0
445,46,F,956.0,517,Masivo,12600.0
446,37,M,1736.0,1586,Masivo,10200.0
447,45,F,381.0,58,Masivo,14100.0
448,57,F,1822.0,116,Masivo,17800.0
449,79,F,1572.0,453,Masivo,13600.0
450,78,M,208.0,618,Masivo,9200.0
451,58,M,633.0,55,Medio,31600.0
452,60,F,1680.0,1566,Masivo,8400.0
453,33,M,348.0,627,Alto,57100.0
454,22,F,406.0,978,Premium,82800.0
455,44,F,1013.0,784,Masivo,8300.0
456,56,M,481.0,1687,Masivo,12100.0
457,20,M,1602.0,361,Alto,45900.0
458,63,M,1204.0,1726,Masivo,14100.0
459,73,M,1220.0,1490,Masivo,14500.0
460,61,F,342.0,1340,Masivo,12100.0
461,34,F,490.0,12,Premium,81600.0
462,58,M,1240.0,1694,Masivo,11700.0
463,69,F,1091.0,1031,Masivo,10500.0
464,45,M,578.0,859,Masivo,11300.0
465,32,F,1490.0,1230,Masivo,12200.0
466,76,F,793.0,253,Medio,25900.0
467,27,F,1806.0,833,Premium,67000.0
468,28,F,902.0,1049,Premium,90600.0
469,56,M,917.0,994,Masivo,7300.0
470,54,M,1036.0,1824,Masivo,12100.0
471,46,M,92.0,1677,Masivo,14200.0
472,62,M,43.0,254,Medio,22700.0
473,43,M,287.0,1011,Masivo,8000.0
474,50,M,382.0,1803,Masivo,12800.0
475,46,F,1080.0,1487,Masivo,10200.0
476,20,F,764.0,609,Alto,42000.0
477,65,F,785.0,101,Medio,29700.0
478,34,F,1255.0,1714,Masivo,7500.0
479,32,M,1652.0,1727,Masivo,7900.0
480,71,M,92.0,982,Masivo,11300.0
481,55,F,1765.0,598,Masivo,11300.0
482,66,F,661.0,650,Masivo,8900.0
483,35,F,1447.0,901,Masivo,9000.0
484,66,F,703.0,308,Masivo,11900.0
485,48,M,510.0,1732,Masivo,10800.0
486,46,F,1251.0,1769,Masivo,13700.0
487,29,F,1446.0,554,Premium,66600.0
488,45,F,572.0,1584,Masivo,15100.0
489,49,M,1034.0,242,Masivo,11700.0
490,48,F,802.0,776,Masivo,14800.0
491,39,F,200.0,945,Masivo,10100.0
492,24,F,467.0,581,Premium,83400.0
493,39,F,101.0,1032,Masivo,10900.0
494,49,M,664.0,1041,Masivo,12600.0
495,78,F,277.0,232,Masivo,9100.0
496,66,F,1415.0,499,Masivo,8000.0
497,47,M,1515.0,442,Masivo,12800.0
498,34,F,1344.0,138,Alto,37900.0
499,80,M,1244.0,1361,Masivo,15000.0
500,73,F,962.0,463,Masivo,9700.0
501,18,M,1585.0,1406,Masivo,11400.0
502,52,F,119.0,190,Medio,24400.0
503,21,M,1700.0,652,Alto,44600.0
504,41,F,1312.0,1312,Masivo,9000.0
505,49,F,523.0,522,Masivo,13700.0
506,66,M,1689.0,488,Masivo,11400.0
507,35,M,124.0,985,Masivo,10500.0
508,77,F,1196.0,1312,Masivo,9700.0
509,74,F,113.0,888,Masivo,14200.0
510,25,M,943.0,1554,Masivo,10900.0
511,58,F,1022.0,661,Masivo,8100.0
512,33,M,256.0,598,Premium,84700.0
513,37,M,860.0,1821,Masivo,10400.0
514,53,F,436.0,283,Medio,26600.0
515,32,F,1431.0,88,Alto,59800.0
516,76,F,515.0,703,Masivo,10500.0
517,78,M,23.0,413,Masivo,12500.0
518,71,F,1253.0,1135,Masivo,9400.0
519,77,M,1210.0,1680,Masivo,13800.0
520,50,F,1128.0,1507,Masivo,14300.0
521,44,M,874.0,1515,Masivo,15300.0
522,80,F,1755.0,923,Masivo,9400.0
523,47,F,112.0,1037,Masivo,16900.0
524,42,F,314.0,566,Masivo,19900.0
525,56,F,1038.0,1657,Masivo,11600.0
526,74,M,1779.0,1759,Masivo,13300.0
527,22,M,1235.0,1125,Masivo,11100.0
528,68,F,536.0,1014,Masivo,9200.0
529,39,F,1766.0,1493,Masivo,10800.0
530,50,M,583.0,516,Masivo,8500.0
531,18,F,1539.0,1752,Masivo,11300.0
532,37,F,766.0,536,Masivo,11000.0
533,55,F,594.0,159,Masivo,15300.0
534,49,M,664.0,1133,Masivo,7700.0
535,46,F,1338.0,998,Masivo,13700.0
536,40,F,1709.0,740,Masivo,10500.0
537,66,M,113.0,1207,Masivo,10100.0
538,47,M,476.0,763,Masivo,8100.0
539,73,F,1020.0,1142,Masivo,8900.0
540,62,F,1776.0,1071,Masivo,17600.0
541,42,M,1734.0,1583,Masivo,10900.0
542,67,F,1424.0,837,Masivo,15300.0
543,38,M,1597.0,138,Masivo,10400.0
544,63,F,563.0,757,Masivo,14300.0
545,42,M,547.0,1326,Masivo,10200.0
546,60,M,49.0,917,Masivo,8100.0
547,59,M,261.0,356,Masivo,12600.0
548,49,F,641.0,792,Masivo,10900.0
549,26,F,809.0,1206,Masivo,10600.0
550,55,M,1620.0,1688,Masivo,11000.0
551,24,M,725.0,926,Alto,35500.0
552,46,F,906.0,1424,Masivo,9100.0
553,76,F,1642.0,1753,Masivo,10400.0
554,64,M,250.0,875,Masivo,12000.0
555,73,M,196.0,690,Masivo,6700.0
556,27,F,672.0,1784,Masivo,8900.0
557,68,F,1496.0,1679,Masivo,11200.0
558,39,F,896.0,142,Medio,29600.0
559,43,F,1106.0,1605,Masivo,8700.0
560,72,F,371.0,853,Masivo,13700.0
561,61,F,445.0,425,Masivo,9500.0
562,42,F,289.0,593,Masivo,11500.0
563,58,F,573.0,1378,Masivo,15000.0
564,66,F,177.0,529,Masivo,6000.0
565,52,F,1518.0,198,Medio,19500.0
566,22,F,1081.0,1090,Alto,42800.0
567,61,F,435.0,637,Masivo,9500.0
568,32,F,1318.0,571,Alto,55000.0
569,45,M,561.0,960,Masivo,14500.0
570,66,F,1092.0,884,Masivo,10900.0
571,73,F,376.0,744,Masivo,10900.0
572,28,M,58.0,1820,Masivo,13500.0
573,75,F,447.0,66,Masivo,14600.0
574,38,F,1012.0,227,Masivo,11800.0
575,36,F,601.0,379,Masivo,15900.0
576,45,F,504.0,268,Medio,22200.0
577,51,M,476.0,1321,Masivo,17600.0
578,61,F,559.0,238,Medio,30400.0
579,28,M,468.0,1478,Masivo,10100.0
580,57,F,259.0,283,Masivo,15100.0
581,57,F,929.0,220,Masivo,9100.0
582,49,M,966.0,366,Masivo,13300.0
583,27,M,544.0,649,Premium,90400.0
584,58,M,1013.0,1557,Masivo,12000.0
585,34,F,1186.0,1284,Masivo,9400.0
586,75,F,131.0,353,Masivo,13100.0
587,75,F,1690.0,1406,Masivo,12900.0
588,52,M,265.0,1396,Masivo,11800.0
589,46,F,646.0,211,Medio,18400.0
590,55,M,982.0,1155,Masivo,15200.0
591,79,F,1822.0,986,Masivo,10600.0
592,34,M,1441.0,981,Alto,42000.0
593,37,F,307.0,943,Masivo,13300.0
594,42,M,896.0,1686,Masivo,8400.0
595,24,F,620.0,1675,Masivo,10600.0
596,54,M,893.0,272,Masivo,14000.0
597,36,M,248.0,156,Medio,27300.0
598,36,F,1783.0,855,Masivo,9000.0
599,71,M,1603.0,516,Masivo,11000.0
600,35,M,,533,Masivo,13300.0
601,73,M,1653.0,949,Masivo,13500.0
602,65,F,551.0,393,Masivo,12500.0
603,76,F,845.0,1231,Masivo,13200.0
604,49,F,407.0,1467,Masivo,11300.0
605,75,M,888.0,558,Masivo,15300.0
606,69,F,1571.0,1683,Masivo,11600.0
607,69,F,1531.0,596,Masivo,11900.0
608,58,M,614.0,1751,Masivo,11100.0
609,34,M,83.0,1646,Masivo,12600.0
610,64,F,980.0,173,Medio,26600.0
611,61,F,763.0,1660,Masivo,10400.0
612,58,F,398.0,1144,Masivo,14400.0
613,58,F,676.0,936,Masivo,6900.0
